w,y
w,ENDOFA
w,ENDOFB
w,x
w,z
u,w
u,y
u,ENDOFA
u,ENDOFB
u,v
u,x
u,z
q,w
q,u
q,y
q,ENDOFA
q,ENDOFB
q,r
q,s
q,t
q,v
q,x
q,z
f,w
f,u
f,q
f,y
f,ENDOFA
f,o
f,ENDOFB
f,g
f,h
f,i
f,j
f,k
f,l
f,m
f,n
f,p
f,r
f,s
f,t
f,v
f,x
f,z
b,w
b,u
b,q
b,f
b,y
b,c
b,ENDOFA
b,o
b,ENDOFB
b,d
b,e
b,g
b,h
b,i
b,j
b,k
b,l
b,m
b,n
b,p
b,r
b,s
b,t
b,v
b,x
b,z
y,ENDOFA
y,ENDOFB
y,z
c,w
c,u
c,q
c,f
c,y
c,ENDOFA
c,o
c,ENDOFB
c,d
c,e
c,g
c,h
c,i
c,j
c,k
c,l
c,m
c,n
c,p
c,r
c,s
c,t
c,v
c,x
c,z
ENDOFA,ENDOFB
o,w
o,u
o,q
o,y
o,ENDOFA
o,ENDOFB
o,p
o,r
o,s
o,t
o,v
o,x
o,z
a,w
a,u
a,q
a,f
a,b
a,y
a,c
a,ENDOFA
a,o
a,ENDOFB
a,d
a,e
a,g
a,h
a,i
a,j
a,k
a,l
a,m
a,n
a,p
a,r
a,s
a,t
a,v
a,x
a,z
d,w
d,u
d,q
d,f
d,y
d,ENDOFA
d,o
d,ENDOFB
d,e
d,g
d,h
d,i
d,j
d,k
d,l
d,m
d,n
d,p
d,r
d,s
d,t
d,v
d,x
d,z
e,w
e,u
e,q
e,f
e,y
e,ENDOFA
e,o
e,ENDOFB
e,g
e,h
e,i
e,j
e,k
e,l
e,m
e,n
e,p
e,r
e,s
e,t
e,v
e,x
e,z
g,w
g,u
g,q
g,y
g,ENDOFA
g,o
g,ENDOFB
g,h
g,i
g,j
g,k
g,l
g,m
g,n
g,p
g,r
g,s
g,t
g,v
g,x
g,z
h,w
h,u
h,q
h,y
h,ENDOFA
h,o
h,ENDOFB
h,i
h,j
h,k
h,l
h,m
h,n
h,p
h,r
h,s
h,t
h,v
h,x
h,z
i,w
i,u
i,q
i,y
i,ENDOFA
i,o
i,ENDOFB
i,j
i,k
i,l
i,m
i,n
i,p
i,r
i,s
i,t
i,v
i,x
i,z
j,w
j,u
j,q
j,y
j,ENDOFA
j,o
j,ENDOFB
j,k
j,l
j,m
j,n
j,p
j,r
j,s
j,t
j,v
j,x
j,z
k,w
k,u
k,q
k,y
k,ENDOFA
k,o
k,ENDOFB
k,l
k,m
k,n
k,p
k,r
k,s
k,t
k,v
k,x
k,z
l,w
l,u
l,q
l,y
l,ENDOFA
l,o
l,ENDOFB
l,m
l,n
l,p
l,r
l,s
l,t
l,v
l,x
l,z
m,w
m,u
m,q
m,y
m,ENDOFA
m,o
m,ENDOFB
m,n
m,p
m,r
m,s
m,t
m,v
m,x
m,z
n,w
n,u
n,q
n,y
n,ENDOFA
n,o
n,ENDOFB
n,p
n,r
n,s
n,t
n,v
n,x
n,z
p,w
p,u
p,q
p,y
p,ENDOFA
p,ENDOFB
p,r
p,s
p,t
p,v
p,x
p,z
r,w
r,u
r,y
r,ENDOFA
r,ENDOFB
r,s
r,t
r,v
r,x
r,z
s,w
s,u
s,y
s,ENDOFA
s,ENDOFB
s,t
s,v
s,x
s,z
t,w
t,u
t,y
t,ENDOFA
t,ENDOFB
t,v
t,x
t,z
v,w
v,y
v,ENDOFA
v,ENDOFB
v,x
v,z
x,y
x,ENDOFA
x,ENDOFB
x,z
z,ENDOFA
z,ENDOFB
